epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.034,2.45426,3.89706,1.62875,0.03942,0.02922,0.0213,0.01303,1.82694,inf,1.22701,3.334e-05,3.334e-05,3.334e-05
2,205.846,2.63515,3.89345,1.68153,0.05204,0.03847,0.02809,0.01727,1.771,inf,1.21253,8.16997e-05,8.16997e-05,8.16997e-05
3,272.142,2.30441,3.74,1.52712,0.08521,0.06825,0.04867,0.02969,1.75212,inf,1.2143,0.000128079,0.000128079,0.000128079
4,356.396,2.19295,3.53313,1.39452,0.09607,0.07809,0.056,0.03234,1.73011,inf,1.19038,0.000172478,0.000172478,0.000172478
5,416.072,2.06024,3.23437,1.33766,0.09612,0.07435,0.07188,0.04218,1.69983,inf,1.16006,0.000214896,0.000214896,0.000214896
6,459.452,2.00186,2.91676,1.2769,0.13661,0.11046,0.13138,0.07581,1.72707,inf,1.17051,0.000255334,0.000255334,0.000255334
7,537.27,2.01857,2.65882,1.22552,0.17037,0.14714,0.16454,0.08997,1.76372,inf,1.16475,0.000293792,0.000293792,0.000293792
8,605.877,2.01572,2.5929,1.22414,0.19403,0.17836,0.19058,0.10405,1.77088,inf,1.15466,0.000330269,0.000330269,0.000330269
9,666.165,1.95069,2.29876,1.17485,0.21212,0.23748,0.23784,0.1273,1.80957,inf,1.13796,0.000364766,0.000364766,0.000364766
10,729.28,1.91111,2.19859,1.17127,0.21581,0.24403,0.25167,0.1362,1.80385,inf,1.12468,0.000397283,0.000397283,0.000397283
11,803.056,2.01764,2.189,1.16493,0.84408,0.22413,0.26873,0.14676,1.82441,inf,1.11038,0.000427819,0.000427819,0.000427819
12,858.599,2.02011,2.07411,1.1485,0.84818,0.23095,0.27549,0.14624,1.84239,1.97838,1.10936,0.000456375,0.000456375,0.000456375
13,926.815,1.94353,1.97313,1.11323,0.82634,0.2432,0.27364,0.1369,1.90171,1.80759,1.12911,0.00048295,0.00048295,0.00048295
14,993.518,2.04922,1.93454,1.16069,0.84467,0.25064,0.28497,0.1522,1.82091,1.74679,1.09749,0.000507545,0.000507545,0.000507545
15,1042.36,1.80117,1.77403,1.11118,0.83839,0.23063,0.26511,0.13955,1.86496,1.86332,1.12163,0.000530159,0.000530159,0.000530159
16,1104.09,1.89467,1.77546,1.1181,0.8383,0.22357,0.2593,0.13613,1.87553,1.9036,1.13509,0.000550793,0.000550793,0.000550793
17,1166.53,1.89722,1.77158,1.11699,0.84337,0.2359,0.2739,0.14647,1.81242,1.77998,1.10284,0.000569447,0.000569447,0.000569447
18,1265.42,1.91719,1.76775,1.09624,0.83727,0.24933,0.28196,0.15296,1.7808,1.74446,1.08512,0.000586121,0.000586121,0.000586121
19,1332.4,1.9428,1.74786,1.10058,0.84086,0.25822,0.29534,0.16284,1.74614,1.71679,1.07051,0.000600813,0.000600813,0.000600813
20,1395.06,1.94941,1.70532,1.10714,0.84671,0.25729,0.30118,0.16867,1.72746,1.70351,1.06327,0.000613526,0.000613526,0.000613526
21,1468.09,1.82726,1.65426,1.06868,0.85595,0.25821,0.30295,0.1711,1.70857,1.70614,1.05678,0.000624258,0.000624258,0.000624258
22,1533.52,1.86582,1.58,1.08321,0.86504,0.26132,0.30848,0.17529,1.67785,1.70534,1.04765,0.00063301,0.00063301,0.00063301
23,1605.57,1.89508,1.61687,1.07186,0.86738,0.2665,0.31208,0.17662,1.67612,1.71698,1.04347,0.000639781,0.000639781,0.000639781
24,1667.91,1.81701,1.63365,1.09132,0.8691,0.26911,0.31782,0.17999,1.68649,1.7213,1.04532,0.000644572,0.000644572,0.000644572
25,1788.31,1.79706,1.52216,1.07309,0.87034,0.26835,0.31989,0.17993,1.70877,1.69031,1.05389,0.000647383,0.000647383,0.000647383
26,1874.59,1.80607,1.51879,1.0726,0.86332,0.26497,0.31654,0.17407,1.73063,1.68952,1.06212,0.000648213,0.000648213,0.000648213
27,1950.04,1.806,1.49339,1.07793,0.84027,0.26522,0.31496,0.17566,1.73465,1.6838,1.06363,0.000647063,0.000647063,0.000647063
28,2018.81,1.75092,1.4721,1.06496,0.28976,0.33296,0.3413,0.19949,1.66444,1.64651,1.04699,0.000643932,0.000643932,0.000643932
29,2090.14,1.68819,1.42123,1.04264,0.28976,0.33296,0.3413,0.19949,1.66444,1.64651,1.04699,0.000638821,0.000638821,0.000638821
30,2160.02,1.75418,1.42433,1.05625,0.30686,0.35258,0.36837,0.22223,1.60064,1.59347,1.02795,0.00063173,0.00063173,0.00063173
31,2229.11,1.70635,1.3932,1.04947,0.32644,0.37656,0.39486,0.23728,1.57781,1.53701,1.01722,0.000622658,0.000622658,0.000622658
32,2288.41,1.63425,1.35746,1.05197,0.34442,0.40014,0.42149,0.25005,1.56507,1.47031,1.01043,0.000611606,0.000611606,0.000611606
33,2366.94,1.78778,1.39094,1.04653,0.34442,0.40014,0.42149,0.25005,1.56507,1.47031,1.01043,0.000598573,0.000598573,0.000598573
34,2493.81,1.74425,1.33324,1.04229,0.69338,0.38199,0.45055,0.26735,1.5496,1.4043,1.0015,0.000577782,0.000577782,0.000577782
35,2563.69,1.6619,1.37415,1.04228,0.75166,0.38143,0.47785,0.28802,1.53211,1.35258,0.99519,0.000544776,0.000544776,0.000544776
36,2639.06,1.7068,1.36638,1.03712,0.72507,0.40688,0.49724,0.29975,1.51338,1.30546,0.99064,0.000511769,0.000511769,0.000511769
37,2709.85,1.68801,1.32582,1.0345,0.72507,0.40688,0.49724,0.29975,1.51338,1.30546,0.99064,0.000478762,0.000478762,0.000478762
38,2777.05,1.68171,1.32871,1.02763,0.69723,0.42355,0.50844,0.30586,1.50649,1.27326,0.98846,0.000445756,0.000445756,0.000445756
39,2848.62,1.63364,1.30411,1.03175,0.68717,0.44325,0.52516,0.31445,1.49269,1.24939,0.98619,0.000412749,0.000412749,0.000412749
40,2925.14,1.70175,1.30829,1.02688,0.68365,0.45672,0.53682,0.3203,1.48145,1.23043,0.98391,0.000379743,0.000379743,0.000379743
41,2983.23,1.66642,1.1828,1.03328,0.68365,0.45672,0.53682,0.3203,1.48145,1.23043,0.98391,0.000346736,0.000346736,0.000346736
42,3001.82,1.55984,1.12,1.0224,0.67923,0.47155,0.54447,0.3234,1.47045,1.17964,0.98096,0.000313729,0.000313729,0.000313729
43,3035.34,1.58349,1.06684,1.0087,0.68684,0.47288,0.54984,0.32551,1.4663,1.14602,0.9806,0.000280723,0.000280723,0.000280723
44,3060.01,1.52939,1.06382,1.01003,0.69275,0.47283,0.5504,0.32694,1.46115,1.11919,0.98117,0.000247716,0.000247716,0.000247716
45,3098.55,1.58301,1.08306,1.01464,0.69275,0.47283,0.5504,0.32694,1.46115,1.11919,0.98117,0.00021471,0.00021471,0.00021471
